,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,BsmtQual_Ex,TotRmsAbvGrd,SalePrice
0,7,1710,2,548,856,856,2,0,8,208500
1,6,1262,2,460,1262,1262,2,0,6,181500
2,7,1786,2,608,920,920,2,0,6,223500
3,7,1717,3,642,756,961,1,0,7,140000
4,8,2198,3,836,1145,1145,2,0,9,250000
5,5,1362,2,480,796,796,1,0,5,143000
6,8,1694,2,636,1686,1694,2,1,7,307000
7,7,2090,2,484,1107,1107,2,0,7,200000
8,7,1774,2,468,952,1022,2,0,8,129900
9,5,1077,1,205,991,1077,1,0,5,118000
10,5,1040,1,384,1040,1040,1,0,5,129500
11,9,2324,3,736,1175,1182,3,1,11,345000
12,5,912,1,352,912,912,1,0,4,144000
13,7,1494,3,840,1494,1494,2,0,7,279500
14,6,1253,1,352,1253,1253,1,0,5,157000
15,7,854,2,576,832,854,1,0,5,132000
16,6,1004,2,480,1004,1004,1,0,5,149000
17,4,1296,2,516,0,1296,2,0,6,90000
18,5,1114,2,576,1114,1114,1,0,6,159000
19,5,1339,1,294,1029,1339,1,0,6,139000
20,8,2376,3,853,1158,1158,3,1,9,325300
21,7,1108,1,280,637,1108,1,0,6,139400
22,8,1795,2,534,1777,1795,2,0,7,230000
23,5,1060,2,572,1040,1060,1,0,6,129900
24,5,1060,1,270,1060,1060,1,0,6,154000
25,8,1600,3,890,1566,1600,2,0,7,256300
26,5,900,2,576,900,900,1,0,5,134800
27,8,1704,3,772,1704,1704,2,1,7,306000
28,5,1600,1,319,1484,1600,1,0,6,207500
29,4,520,1,240,520,520,1,0,4,68500
30,4,1317,1,250,649,649,1,0,6,40000
31,5,1228,1,271,1228,1228,1,0,6,149350
32,8,1234,2,484,1234,1234,2,1,7,179900
33,5,1700,2,447,1398,1700,1,0,6,165500
34,9,1561,2,556,1561,1561,2,1,6,277500
35,8,2452,3,691,1117,1132,3,1,9,309000
36,5,1097,2,672,1097,1097,1,0,6,145000
37,5,1297,2,498,1297,1297,1,0,5,153000
38,5,1057,1,246,1057,1057,1,0,5,109000
39,4,1152,0,0,0,1152,2,0,6,82000
40,6,1324,2,440,1088,1324,2,0,6,160000
41,5,1328,1,308,1350,1328,1,0,5,170000
42,5,884,2,504,840,884,1,0,5,144000
43,5,938,1,308,938,938,1,0,5,130250
44,5,1150,1,300,1150,1150,1,0,6,141000
45,9,1752,2,576,1752,1752,2,1,6,319900
46,7,2149,2,670,1434,1518,1,1,6,239686
47,8,1656,3,826,1656,1656,2,0,7,249700
48,4,1452,0,0,736,736,2,0,8,113000
49,5,955,1,386,955,955,1,0,6,127000
50,6,1470,2,388,794,794,2,0,6,177000
51,6,1176,2,528,816,816,1,0,6,114500
52,5,816,2,516,816,816,1,0,5,110000
53,9,1842,3,894,1842,1842,0,1,5,385000
54,5,1360,2,572,384,1360,1,0,6,130000
55,6,1425,2,576,1425,1425,2,0,7,180500
56,8,1739,2,480,970,983,2,0,7,172500
57,7,1720,2,565,860,860,2,0,7,196500
58,10,2945,3,641,1410,1426,3,1,10,438780
59,5,780,1,352,780,780,1,0,4,124900
60,6,1158,2,576,1158,1158,1,0,5,158000
61,5,1111,1,288,530,581,1,0,6,101000
62,8,1370,2,484,1370,1370,2,0,6,202500
63,7,1710,2,480,576,902,2,0,9,140000
64,7,2034,2,645,1057,1057,2,0,8,219500
65,8,2473,3,852,1143,1143,2,1,9,317000
66,7,2207,2,576,1947,2207,2,0,7,180000
67,7,1479,2,558,1453,1479,2,0,7,226000
68,4,747,1,220,747,747,1,0,4,80000
69,7,2287,2,667,1304,1304,2,0,7,225000
70,7,2223,2,516,2223,2223,2,0,8,244000
71,4,845,2,360,845,845,1,0,4,129500
72,7,1718,2,427,832,885,2,0,7,185000
73,5,1086,2,490,1086,1086,1,0,6,144900
74,3,1605,1,379,840,840,2,0,8,107400
75,4,988,1,297,462,526,1,0,5,91000
76,4,952,1,283,952,952,1,0,4,135750
77,5,1285,1,240,672,1072,1,0,6,127000
78,4,1768,0,0,1768,1768,2,0,8,136500
79,5,1230,2,440,440,682,1,0,5,110000
80,6,2142,1,509,896,1182,2,0,8,193500
81,6,1337,2,405,1237,1337,2,1,5,153500
82,8,1563,3,758,1563,1563,2,0,6,245000
83,5,1065,2,461,1065,1065,1,0,6,126500
84,7,1474,2,400,384,804,2,0,7,168500
85,8,2417,2,462,1288,1301,2,0,9,260000
86,6,1560,2,400,684,684,2,0,6,174000
87,6,1224,2,528,612,612,2,0,4,164500
88,3,1526,0,0,1013,1013,1,0,6,85000
89,4,990,0,0,990,990,1,0,5,123600
90,4,1040,2,420,0,1040,1,0,4,109900
91,5,1235,2,480,1235,1235,1,0,6,98600
92,5,964,2,432,876,964,1,0,5,163500
93,6,2291,2,506,1214,1260,2,0,9,133900
94,6,1786,2,684,824,905,2,0,7,204750
95,6,1470,2,420,680,680,2,0,6,185000
96,7,1588,2,472,1588,1588,2,0,6,214000
97,4,960,1,432,960,960,1,0,6,94750
98,5,835,1,366,458,835,1,0,5,83000
99,4,1225,0,0,950,1225,1,0,6,128950
100,6,1610,2,480,1610,1610,2,0,6,205000
101,6,1732,2,476,741,977,2,0,7,178000
102,5,1535,2,410,0,1535,2,0,8,118964
103,7,1226,3,740,1226,1226,2,0,6,198900
104,7,1818,1,240,1040,1226,1,0,7,169500
105,8,1992,2,648,1053,1053,2,1,9,250000
106,4,1047,1,273,641,1047,1,0,6,100000
107,5,789,1,250,789,789,1,0,5,115000
108,5,1517,0,0,793,997,2,0,7,115000
109,6,1844,2,546,1844,1844,2,0,7,190000
110,6,1855,1,325,994,1216,2,0,7,136900
111,7,1430,2,400,384,774,2,0,7,180000
112,7,2696,3,792,1264,1282,2,1,10,383970
113,6,2259,2,450,1809,2259,2,0,7,217000
114,6,2320,1,180,1028,1436,2,0,9,259500
115,6,1458,2,440,729,729,2,0,5,176000
116,5,1092,1,288,1092,1092,1,0,6,139000
117,5,1125,2,430,1125,1125,1,0,5,155000
118,7,3222,3,594,1673,1699,3,0,11,320000
119,6,1456,2,390,728,728,2,0,8,163990
120,6,988,2,540,938,988,1,0,4,180000
121,4,1123,1,264,732,772,1,0,4,100000
122,6,1080,1,288,1080,1080,1,0,5,136000
123,6,1199,2,530,1199,1199,2,0,5,153900
124,6,1586,2,435,1362,1586,2,0,7,181000
125,6,754,0,0,520,520,1,0,5,84500
126,6,958,2,440,1078,958,2,0,5,128000
127,5,840,0,0,672,840,1,0,5,87000
128,6,1348,2,453,660,660,1,0,6,155000
129,5,1053,2,750,1008,1053,1,0,6,150000
130,7,2157,2,487,924,1216,2,0,8,226000
131,6,2054,2,390,992,1022,2,0,7,244000
132,5,1327,2,624,1063,1327,1,0,7,150750
133,8,1296,2,471,1267,1296,2,1,6,220000
134,5,1721,2,440,1461,1721,2,0,7,180000
135,7,1682,2,530,1304,1682,2,0,7,174000
136,5,1214,1,318,1214,1214,2,0,5,143000
137,7,1959,3,766,1907,1959,3,0,9,171000
138,8,1852,3,660,1004,1004,2,0,7,230000
139,6,1764,2,470,928,928,2,0,7,231500
140,4,864,0,0,864,864,1,0,5,115000
141,7,1734,2,660,1734,1734,2,0,7,260000
142,5,1385,2,720,910,910,2,0,6,166000
143,7,1501,2,577,1490,1501,2,0,6,204000
144,5,1728,2,504,1728,1728,2,0,10,125000
145,6,1709,2,380,970,970,2,0,7,130000
146,5,875,1,180,715,875,1,0,5,105000
147,7,2035,2,434,884,884,2,0,8,222500
148,7,1080,0,0,1080,1080,1,0,6,141000
149,5,1344,1,240,896,896,1,0,7,115000
150,5,969,2,440,969,969,1,0,5,122000
151,8,1710,3,866,1710,1710,2,1,6,372402
152,6,1993,2,495,825,1097,2,0,8,190000
153,6,1252,2,564,1602,1252,1,0,4,235000
154,6,1200,1,312,1200,1200,1,0,7,125000
155,6,1096,0,0,572,572,1,0,5,79000
156,5,1040,2,625,0,1040,1,0,5,109500
157,8,1968,3,680,774,774,2,1,8,269500
158,7,1947,2,678,991,991,2,0,8,254900
159,7,2462,2,576,1392,1392,2,0,9,320000
160,6,1232,2,516,1232,1232,2,0,6,162500
161,9,2668,3,726,1572,1572,2,1,10,412500
162,7,1541,2,532,1541,1541,2,0,7,220000
163,4,882,0,0,882,882,1,0,4,103200
164,6,1616,1,216,1149,1149,2,0,5,152000
165,5,1355,0,0,644,808,2,0,6,127500
166,5,1867,1,303,1617,1867,1,0,7,190000
167,8,2161,3,789,1582,1610,1,1,8,325624
168,7,1720,2,440,840,840,2,0,7,183500
169,8,1707,2,511,1686,1707,2,0,6,228000
170,5,1382,2,660,720,854,1,0,7,128500
171,6,1656,2,528,1080,1656,1,0,7,215000
172,7,1767,2,504,1064,1064,2,0,5,239000
173,6,1362,2,504,1362,1362,1,0,6,163000
174,6,1651,2,616,1606,1651,2,0,7,184000
175,6,2158,2,576,1202,2158,2,0,7,243000
176,6,2060,2,521,1151,1164,2,0,8,211000
177,5,1920,2,451,1052,1252,2,0,8,172500
178,9,2234,3,1166,2216,2234,2,1,9,501837
179,5,968,2,480,968,968,1,0,5,100000
180,6,1525,2,440,756,769,2,0,5,177000
181,7,1802,1,216,793,901,1,0,9,200100
182,5,1340,1,252,0,1340,1,0,7,120000
183,7,2082,2,484,1362,1362,2,0,6,200000
184,5,1252,2,576,504,936,1,0,5,127000
185,10,3608,3,840,1107,1518,2,0,12,475000
186,7,1217,2,497,1188,1217,2,0,6,173000
187,5,1656,1,180,660,808,2,0,8,135000
188,5,1224,2,528,1086,1224,0,0,6,153337
189,8,1593,2,682,1593,1593,1,1,5,286000
190,8,2727,2,440,853,1549,2,0,10,315000
191,7,1479,2,484,725,725,1,0,7,184000
192,7,1431,2,666,1431,1431,2,0,6,192000
193,7,1709,2,380,970,970,2,0,7,130000
194,5,864,1,352,864,864,1,0,5,127000
195,6,1456,2,440,855,855,2,0,7,148500
196,7,1726,3,786,1726,1726,2,1,8,311872
197,8,3112,2,795,1360,1360,2,0,8,235000
198,6,2229,0,0,755,929,1,0,8,104000
199,8,1713,3,856,1713,1713,2,1,7,274900
200,4,1121,2,440,1121,1121,2,0,5,140000
201,6,1279,2,473,1196,1279,2,0,6,171500
202,6,1310,1,398,617,865,2,0,6,112000
203,6,848,2,420,848,848,1,0,3,149000
204,5,1284,1,240,720,720,1,0,5,110000
